"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"3255","GA1360600","Pavo Police Department","City","Georgia","GA","South Atlantic","South","Region III","BROOKS; THOMAS","FALSE","30.864606","-83.91982","NULL"
"3256","GA1361100","Southern Regional Technical College","University or College","Georgia","GA","South Atlantic","South","Region III","THOMAS","FALSE","NULL","NULL","NULL"
"3257","GA1370000","Tift County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TIFT","FALSE","31.457003","-83.525931","NULL"
"3258","GA1370100","Tifton Police Department","City","Georgia","GA","South Atlantic","South","Region III","TIFT","FALSE","31.449644","-83.509926","NULL"
"3259","GA1370200","Omega Police Department","City","Georgia","GA","South Atlantic","South","Region III","COLQUITT; TIFT","FALSE","31.457003","-83.525931","NULL"
"3260","GA1370400","Abraham Baldwin Agricultural College","University or College","Georgia","GA","South Atlantic","South","Region III","TIFT","FALSE","31.457003","-83.525931","NULL"
"3261","GA1380000","Toombs County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TOOMBS","FALSE","32.20298","-82.34015","NULL"
"3262","GA1380100","Lyons Police Department","City","Georgia","GA","South Atlantic","South","Region III","TOOMBS","FALSE","32.21141","-82.32324","NULL"
"3263","GA1380200","Vidalia Police Department","City","Georgia","GA","South Atlantic","South","Region III","MONTGOMERY; TOOMBS","FALSE","32.126698","-82.332071","NULL"
"3264","GA1390000","Towns County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TOWNS","FALSE","34.902662","-83.732215","NULL"
"3265","GA1390100","Hiawassee Police Department","City","Georgia","GA","South Atlantic","South","Region III","TOWNS","FALSE","34.902662","-83.732215","NULL"
"3266","GA139039E","Young Harris College","University or College","Georgia","GA","South Atlantic","South","Region III","TOWNS","FALSE","NULL","NULL","NULL"
"3267","GA1400000","Treutlen County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TREUTLEN","FALSE","32.409586","-82.570882","NULL"
"3268","GA1400100","Soperton Police Department","City","Georgia","GA","South Atlantic","South","Region III","TREUTLEN","FALSE","32.409586","-82.570882","NULL"
"3269","GA1410000","Troup County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TROUP","FALSE","32.989746","-85.00395","NULL"
"3270","GA1410100","Hogansville Police Department","City","Georgia","GA","South Atlantic","South","Region III","TROUP","FALSE","33.17311","-84.920135","NULL"
"3271","GA1410200","LaGrange Police Department","City","Georgia","GA","South Atlantic","South","Region III","TROUP","FALSE","33.034482","-85.02836","NULL"
