State,City,Population,"Violent
crime","Property
crime"
CA,Salinas,155742,1001,5356
CA,San Bernardino,214322,1949,9389
CA,San Bruno,42495,102,1002
CA,San Clemente,65295,56,844
CA,Sand City,344,3,99
CA,San Diego,1349306,5303,31728
CA,San Dimas,33854,65,706
CA,San Fernando,23955,85,399
CA,San Francisco,833863,7064,48324
CA,San Gabriel,40287,103,724
CA,Sanger,24649,146,726
CA,San Jacinto,45714,124,1805
CA,San Jose,992143,3215,25510
CA,San Juan Capistrano,35585,57,439
CA,San Leandro,87490,394,3960
CA,San Luis Obispo,46095,161,1775
CA,San Marcos,87712,214,1400
CA,San Marino,13308,20,224
CA,San Mateo,100440,239,2065
CA,San Pablo,29893,200,1170
CA,San Rafael,58725,206,1812
CA,San Ramon,74434,27,760
CA,Santa Ana,332848,1121,6425
CA,Santa Barbara,90006,362,2670
CA,Santa Clara,120150,172,3023
CA,Santa Clarita,204951,276,2713
CA,Santa Cruz,62517,407,3163
CA,Santa Fe Springs,16936,75,1206
CA,Santa Maria,102051,490,2934
CA,Santa Monica,92488,324,3544
CA,Santa Paula,30159,108,536
CA,Santa Rosa,171564,541,3506
CA,Santee,55924,156,1165
CA,Saratoga,30897,14,222
CA,Sausalito,7066,10,309
CA,Scotts Valley,11694,11,287
CA,Seal Beach,24798,16,462
CA,Seaside,34147,120,591
CA,Sebastopol,7570,23,146
CA,Selma,23935,191,1056
CA,Shafter,17139,58,545
CA,Sierra Madre,11048,13,129
CA,Signal Hill,11240,32,554
CA,Simi Valley,126215,132,1709
CA,Solana Beach,13239,27,294
CA,Soledad,26637,73,252
CA,Solvang,5373,7,70
CA,Sonoma,10912,38,212
CA,Sonora,4774,13,304
CA,South El Monte,20354,88,444
CA,South Gate,95591,496,2698
CA,South Lake Tahoe,21243,116,585
CA,South Pasadena,25937,29,568
CA,South San Francisco,66157,118,1188
CA,Stallion Springs,2562,9,16
CA,Stanton,39128,112,702
CA,St. Helena,5934,6,72
CA,Stockton,299796,3622,15080
CA,Suisun City,28805,64,630
CA,Sunnyvale,148160,144,2434
CA,Susanville,16270,83,384
CA,Sutter Creek,2445,4,58
CA,Taft,8839,60,331
CA,Tehachapi,13607,41,385
CA,Temecula,106680,91,2848
CA,Temple City,36269,48,476
CA,Thousand Oaks,128884,139,1604
CA,Tiburon,9133,2,87
CA,Torrance,147534,187,2786
CA,Tracy,85174,152,2236
CA,Truckee,16146,18,173
